,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
331,175732,0,505704,476866,34926,719790,176214,408903,397847,0,437356,262332
332,73218,0,66200,74954,6230,13600,120080,47139,157010,4000,424620,99232
333,99332,22417,108500,444605,28283,36558,63917,88961,88163,0,453110,65260
334,72340,2500,60970,419625,30000,48450,100700,80330,175977,0,317550,52900
335,10850,0,110000,362300,1000,0,73000,100800,97250,0,184000,20700
336,19260,0,6000,361090,20,228920,396700,58416,115606,0,638045,4986
337,95255,45100,168300,421318,5083,15750,164450,5460,219781,0,315375,81835
338,103585,17275,13950,481395,6200,2000,96050,36460,66500,0,355800,30495
339,82693,2700,353113,387373,33187,184393,51667,48999,33904,0,200000,370900
340,49500,85500,5650,463215,6400,103050,312795,0,166000,0,434350,27150
